"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30706","POM Test Demo @regression @slow","chromium","Fri Dec 12 19:51:13 IST 2025","broken","Fri Dec 12 19:51:43 IST 2025","POM Test Suite","pomtest.spec.js","",""
"","917","Get api request @get","chromium","Fri Dec 12 19:02:11 IST 2025","passed","Fri Dec 12 19:02:12 IST 2025","Sample Regression API tests @reg","sampleAPI.spec.js","",""
"","515","POM Test Demo @regression @fail","chromium","Fri Dec 12 19:57:03 IST 2025","passed","Fri Dec 12 19:57:04 IST 2025","POM Test Suite","pomtest.spec.js","",""
"","412","Put api request @put","chromium","Fri Dec 12 19:02:12 IST 2025","passed","Fri Dec 12 19:02:13 IST 2025","Sample Regression API tests @reg","sampleAPI.spec.js","",""
"","3","POM Test Demo @regression @fixme","chromium","Fri Dec 12 19:57:04 IST 2025","skipped","Fri Dec 12 19:57:04 IST 2025","POM Test Suite","pomtest.spec.js","",""
"","10205","New window sample","chromium","Fri Dec 12 19:21:18 IST 2025","passed","Fri Dec 12 19:21:28 IST 2025","","multipleWindowHandling.spec.js","",""
"","89810","POM Test Demo @smoke","chromium","Mon Dec 15 12:29:30 IST 2025","passed","Mon Dec 15 12:30:59 IST 2025","POM Test Suite","pomtest.spec.js","",""
"","444","Post api request @post","chromium","Fri Dec 12 19:02:12 IST 2025","passed","Fri Dec 12 19:02:12 IST 2025","Sample Regression API tests @reg","sampleAPI.spec.js","",""
"","419","POM Test Demo @regression","chromium","Fri Dec 12 19:44:08 IST 2025","failed","Fri Dec 12 19:44:08 IST 2025","POM Test Suite","pomtest.spec.js","",""
"","427","Delete api request @delete","chromium","Fri Dec 12 19:02:13 IST 2025","passed","Fri Dec 12 19:02:13 IST 2025","Sample Regression API tests @reg","sampleAPI.spec.js","",""
